gender,first_generation,underrepresented,avg_sleep_hours,daytime_sleep_minutes,sleep_midpoint_minutes,bedtime_variability,nights_tracked_fraction,prior_gpa,term_gpa
Male,0.0,0.0,6.05,70.2,341.4,0.0447,1.0,3.267,3.84
Female,0.0,0.0,7.6,39.8,307.1,0.0526,0.964,3.88,3.78
Female,0.0,0.0,6.88,30.2,322.1,0.1857,0.929,3.26,3.23
Male,0.0,0.0,8.3,22.3,434.0,0.1549,0.964,3.33,3.59
Female,0.0,0.0,6.2,53.4,372.3,0.0723,0.25,3.917,4.0
Male,0.0,0.0,6.71,44.1,356.3,0.0361,1.0,3.759,3.43
Male,0.0,0.0,7.22,42.1,493.0,3.4332,0.893,2.498,3.83
Male,0.0,0.0,6.68,32.6,340.7,0.0536,0.964,3.788,3.91
Male,0.0,0.0,5.99,57.3,395.4,0.0519,1.0,3.721,3.77
Female,0.0,0.0,7.71,25.2,299.8,0.0713,1.0,3.71,3.45
Male,1.0,0.0,7.44,84.8,364.6,0.1876,1.0,3.13,3.0
Female,0.0,1.0,7.22,56.6,460.9,0.0534,0.964,3.731,3.95
Male,1.0,1.0,7.03,35.7,441.2,0.5668,1.0,3.042,3.53
Female,0.0,0.0,7.28,50.2,413.4,0.0473,1.0,3.57,3.49
Male,0.0,0.0,8.48,15.4,269.1,0.0559,0.929,3.546,3.46
Male,0.0,0.0,5.61,110.6,434.7,0.8479,0.964,2.539,1.96
Female,0.0,0.0,6.48,37.8,345.0,0.116,1.0,3.241,3.59
Male,1.0,0.0,6.59,34.7,374.0,0.1629,1.0,3.7,3.32
Female,0.0,0.0,7.15,50.4,404.1,0.1872,0.607,3.666,3.7
Male,0.0,1.0,5.61,33.2,380.6,0.1741,1.0,3.03,2.0
Female,0.0,0.0,6.32,31.0,463.6,0.7793,0.821,3.32,3.13
Male,1.0,1.0,6.01,51.6,375.0,0.1029,1.0,2.206,2.54
Female,0.0,0.0,6.61,35.4,407.9,0.1087,0.607,3.78,3.8
Female,1.0,0.0,5.6,57.9,328.2,0.0667,0.857,3.157,2.9
Female,1.0,0.0,6.94,28.3,342.1,0.0726,1.0,3.201,3.62
Female,0.0,1.0,7.98,61.2,429.1,0.1368,0.893,2.831,3.08
Female,0.0,0.0,8.01,23.8,327.5,0.0964,1.0,3.141,2.8
Male,0.0,0.0,6.19,25.4,442.0,1.1223,0.5,3.252,3.93
Female,1.0,0.0,7.31,24.8,379.2,0.1146,1.0,3.534,3.72
Male,1.0,0.0,7.3,25.9,402.2,0.4073,0.321,3.563,4.0
Female,0.0,0.0,6.95,42.1,457.8,0.0883,0.929,3.315,3.53
Female,0.0,0.0,6.18,16.8,367.6,0.058,1.0,3.654,3.3
Male,1.0,0.0,7.31,30.2,313.7,0.0171,1.0,3.818,3.63
Male,0.0,0.0,6.46,33.1,338.2,0.0234,1.0,3.673,4.0
Male,1.0,1.0,6.4,53.9,383.4,0.0397,1.0,2.961,3.45
Male,0.0,0.0,6.62,68.5,360.4,0.0535,1.0,3.348,3.71
Female,0.0,0.0,6.96,51.0,514.0,0.5772,0.929,4.0,3.97
Female,0.0,0.0,6.08,47.4,374.2,0.1579,1.0,3.25,3.27
Female,1.0,0.0,6.23,73.4,368.7,0.1149,0.893,2.606,2.57
Male,0.0,0.0,7.78,11.9,312.5,0.0391,1.0,3.925,4.0
Female,1.0,0.0,7.02,37.0,336.0,0.0512,0.857,3.482,3.33
Female,0.0,0.0,7.53,64.3,352.4,0.2783,0.964,3.215,2.99
Female,0.0,1.0,7.22,28.2,420.3,0.126,0.929,3.39,3.37
Female,1.0,1.0,6.42,11.4,314.8,0.0302,1.0,3.802,3.85
Male,1.0,1.0,7.31,23.7,266.8,0.0188,1.0,3.728,3.5
Female,0.0,0.0,6.48,37.1,360.0,0.0686,0.964,3.959,3.94
Female,1.0,0.0,6.75,31.6,392.3,0.6326,0.786,2.986,1.55
Female,1.0,1.0,6.71,73.3,384.9,0.08,0.893,3.8,3.25
Male,1.0,1.0,6.74,61.1,332.1,0.1362,1.0,2.996,1.8
Female,1.0,1.0,6.84,50.4,280.5,0.124,0.964,3.663,3.35
Male,0.0,1.0,5.85,117.0,494.2,0.7539,0.964,3.092,2.26
Male,1.0,0.0,7.1,29.8,350.6,0.1898,1.0,3.735,3.4
Female,0.0,0.0,6.12,70.9,344.1,0.2994,0.321,2.9,3.0
Male,1.0,1.0,5.96,18.2,402.0,0.3765,0.321,3.149,2.5
Male,0.0,0.0,7.77,19.9,327.1,0.0578,0.964,3.46,3.37
Female,0.0,0.0,7.66,31.6,352.7,0.1119,1.0,2.998,3.4
Male,0.0,1.0,5.62,21.8,448.0,0.3415,0.571,3.409,3.11
Female,0.0,0.0,6.86,35.1,440.8,0.1034,0.857,3.724,3.86
Male,1.0,1.0,8.45,19.8,322.1,0.0218,0.714,3.708,3.1
Female,0.0,1.0,6.89,38.4,441.0,0.1269,0.893,3.946,3.93
Male,1.0,1.0,7.46,44.2,400.0,0.1997,0.893,3.414,3.47
Male,0.0,1.0,7.72,37.6,386.2,0.13,0.714,3.3,2.87
Female,0.0,0.0,6.72,38.0,305.5,0.1332,0.964,3.492,2.94
Female,1.0,1.0,5.59,41.4,377.9,1.2016,0.964,2.851,2.97
Male,0.0,0.0,7.68,20.0,296.6,0.107,1.0,4.0,4.0
Female,0.0,0.0,5.88,79.1,419.3,0.5716,0.964,3.657,3.3
Female,0.0,0.0,5.83,100.3,354.9,0.1481,1.0,3.635,3.83
Female,0.0,0.0,6.14,36.2,351.4,0.0375,0.786,2.83,2.67
Female,0.0,0.0,6.84,18.9,400.6,0.2043,0.75,3.863,3.8
Male,0.0,0.0,7.27,20.8,319.5,0.0293,0.714,3.296,3.33
Female,0.0,0.0,7.49,15.6,351.4,0.0446,0.893,3.611,3.09
Male,0.0,0.0,7.52,29.8,306.2,0.0593,1.0,3.626,3.54
Female,1.0,0.0,8.53,32.1,392.3,0.0233,0.893,3.24,2.8
